subject_id,src,x,y,planet
14928,img/planet1.png,548,471,1
14928,img/planet2.png,867,510,2
14928,img/planet3.png,816,352,3
14928,img/planet4.png,298,137,4
14928,img/planet5.png,823,114,5
14928,img/planet6.png,543,373,6
14928,img/planet7.png,458,522,7
14928,img/planet8.png,111,51,8
14928,img/planet9.png,431,438,9
14928,img/planet10.png,744,149,10
14928,img/planet11.png,74,155,11
14928,img/planet12.png,962,513,12
14928,img/planet13.png,309,141,13
14928,img/planet14.png,849,254,14
14928,img/planet15.png,883,62,15
